Commodity,Value
AWB1,141.7295364
AWB2,190.2727152
AWB3,269.6260825
AWB5,163.1793428
AWB6,233.1318279
BHB1,125.5125551
BHB2,168.6186542
BHB3,242.7940087
BHB5,147.3408255
BHB6,200.927634
BR1,125.1041628
BR2,135.7619149
BR3,172.7464417
BR5,130.5434742
BR6,162.2991953
BSH1,182.6600491
BSH2,235.6206551
BSH3,324.2486079
BSH5,202.1149656
BSH6,269.1263446
CDB1,153.1311492
CDB2,195.7090785
CDB3,259.1196625
CDB5,168.9852165
CDB6,238.0388198
CL1,152.3833573
CL2,194.9693573
CL3,284.8846647
CL5,173.775251
CL6,232.0031639
CNX1,160.0089347
CNX2,222.2942919
CNX3,337.2000369
CNX5,182.5605296
CNX6,264.1758251
CSB1,148.1961946
CSB2,207.2598953
CSB3,314.6484421
CSB5,169.6739039
CSB6,245.9197722
FRB1,157.0586489
FRB2,220.9652716
FRB3,339.0300491
FRB5,179.805074
FRB6,263.2086324
KH1,125.3080262
KH2,157.3134764
KH3,194.4443994
KH5,146.6228681
KH6,199.9533082
LLB1,141.6525514
LLB2,189.8610922
LLB3,263.5251599
LLB5,151.9710647
LLB6,226.9740255
MKH1,187.4282752
MKH2,187.4282752
MKH3,203.3849681
MKH5,187.4282752
MKH6,171.3629945
PDH1,164.6407906
PDH2,227.4642502
PDH3,341.1963753
PDH5,187.3872156
PDH6,268.6244479
PSH1,150.6665921
PSH2,208.780849
PSH3,315.3236534
PSH5,171.114201
PSH6,247.5236869
PXB1,159.9626466
PXB2,222.6507108
PXB3,339.3802096
PXB5,182.6600491
PXB6,264.8030298
SCS1,173.9260334
SCS2,228.3446083
SCS3,322.2433257
SCS5,194.1996201
SCS6,263.5566273
SHB1,134.7406001
SHB2,171.6379084
SHB3,213.6334456
SHB5,155.7133929
SHB6,197.9271147
SMA1,160.054632
SMA2,221.942423
SMA3,335.0476963
SMA5,181.3952496
SMA6,262.4895964
SYB1,153.8160808
SYB2,211.4971111
SYB3,316.1774995
SYB5,174.1112582
SYB6,248.8829641
WCS1,141.3454456
WCS2,205.5789807
WCS3,289.9490764
WCS5,168.1626817
WCS6,242.5330802
WDB1,170.7943788
WDB2,232.8025291
WDB3,343.7644822
WDB5,192.5516245
WDB6,273.0534336
WHB1,151.316017
WHB2,209.6807664
WHB3,315.6019783
WHB5,171.8517622
WHB6,248.5905994
SH1,174.0134196
SH2,229.2284579
SH3,322.2046074
SH5,194.3397469
SH6,264.1758251
ACS1,0.756329313
BKN1,0.309570687
CNS1,0.531098596
DSW1,0.550431783
OSA1,0.522110658
OSH1,7.501135886
OSY1,11.89465833
SW1,0.507546737
SWB1,0.651304563
SYN1,0.686514299
WTI1,0.549761342
SPC1,0.124705668
WCC1,0.240317421
OSH,7.501135886
SWB,0.651304563
ACS,0.756329313
OSY,11.89465833
KH,14.95715216
CNS,0.531098596
