SampleDateTime,Location_Ultrasonic_Flow,Location_Density,Location_Discharge_Pressure,Downstream_Valve_Suction_Pressure,Location_Discharge_Temperature,Downstream_Suction_Temperature,DRA1_Concentration,DRA1_Flow_Rate,IntervalStartDateTime
12/1/2018 0:00,-1,910.7239655,592.4709524,464.4063333,24.18534406,25.44243582,0,0,12/1/2018 0:00
12/1/2018 0:15,-1,910.9293569,560.0399884,432.5488889,24.03272716,25.41740792,0,0,12/1/2018 0:00
12/1/2018 0:30,-1,911.127664,528.0343926,400.330316,23.86311292,25.38835692,0,0,12/1/2018 0:00
12/1/2018 0:45,-1,911.3409126,495.7889778,368.7511285,23.6915011,25.35075701,0,0,12/1/2018 0:00
12/1/2018 1:00,-1,911.5234049,464.4560567,337.3486111,23.53905614,25.29722703,0,0,12/1/2018 1:00
12/1/2018 1:15,-1.061708071,911.71688,433.2405433,306.1573029,23.35738697,25.18359358,0,0,12/1/2018 1:00
12/1/2018 1:30,-1.300889878,911.9359006,402.4721638,275.3209695,23.18991055,25.15856568,0,0,12/1/2018 1:00
12/1/2018 1:45,-1.551167964,912.1435183,371.9670777,244.9086582,23.0280111,25.13353777,0,0,12/1/2018 1:00
12/1/2018 2:00,-1.801446051,912.329589,341.9378632,214.3440112,22.86605502,25.10852742,0,0,12/1/2018 2:00
12/1/2018 2:15,-1.989232481,912.4851607,311.8854216,184.3767016,22.71019177,25.0835932,0,0,12/1/2018 2:00
12/1/2018 2:30,295.1277778,907.9857203,364.5011304,205.1717638,22.14523907,25.0585653,0,0,12/1/2018 2:00
12/1/2018 2:45,408.3711111,906.2141872,436.812866,278.0274026,26.01320308,25.03353739,0,0,12/1/2018 2:00
12/1/2018 3:00,934.9922222,905.9363326,877.9903439,576.5951347,26.68099886,25.01089606,0,0,12/1/2018 3:00
12/1/2018 3:15,2668.76,905.6663597,3376.315,2426.201275,27.52099922,25.16390977,0,0,12/1/2018 3:00
